"Value","Counts"
"Thermal Expansion",312
"Buildcraft",243
"Industrial Craft",242
"Applied Energistics",222
"Thaumcraft",182
"Tinker'S Construct",168
"Forestry",147
"Mine Factory Reloaded",114
"Railcraft",107
"Nei",96
"Computercraft",86
"Extra Utilities",86
"Inventory Tweaks",80
"Biomes O Plenty",74
"Mystcraft",65
"Gregtech",62
"Openblocks",58
"Iron Chests",56
"Modular Powersuits",41
"Extra Bees",40
"Ender Storage",39
"Project Red",38
"Twilight Forest",35
"Factorization",32
"Portal Gun",31
"Steve'S Carts",30
"Chickenchunks",26
"Waila",26
"Binnies Mods",24
"Mekanism",21
"Natura",20
"Bibliocraft",19
"Equivalent Exchange 3",18
"Enderio",18
"Dartcraft",17
"Logistics Pipes",17
"Ars Magica 2",16
"Soul Shards",15
"Openperipherals",15
"Advanced Solar Panels",14
"Chisel",13
"Damage Indicators",13
"Morph",12
"Thaumic Tinkerer",11
"Magic Bees",11
"Gravisuite",11
"Forgemultipart",10
"Optifine",10
"Treecapitator",9
"Extra Trees",9
"Carpenter'S Blocks",9
"Nei Plugins",8
"Metallurgy",7
"Obsidiplates",7
"Archimedes Ships",7
"Translocators",7
"Modular Force Field Systems",7
"Rotarycraft",7
"Nei Addons",6
"Nuclear Control",6
"Blood Magic",6
"Harvest Craft",6
"Redstone In Motion",6
"Miscperipherals",6
"Wr-Cbe",6
"Extrabiomesxl",5
"Micro Blocks",5
"Jabba",5
"Zan'S Minimap",5
"Hats",5
"Agriculture",5
"Mapwriter",5
"Dimensional Doors",5
"Reactor Craft",5
"Nether Ores",5
"Power Converters",5
"Atomic Science",4
"Super Crafting Frame",4
"Red Power",4
"Underground Biomes",4
"Gravity Gun",4
"Enchanting Plus",4
"Xeno'S Reliquary",4
"Galacticraft",4
"Tinker'S Mechworks",4
"Enhanced Portals",4
"Advanced Machines",3
"Extra Bees And Trees",3
"Icbm",3
"Universal Electricity",3
"Bees",3
"Extra Cells",3
"Balkon'S Weapons",3
"Mariculture",3
"Compact Solar Panels",3
"Openmods",3
"Quarry Plus",3
"Atg",3
"Xycraft",3
"Opis",3
